Class,Day,Course,Section,Type,Time
C-308,Wednesday,ML for Cy Sec,ML for Cy Sec,Theory,06:45-08:05
C-309,Wednesday,Elec ,CS-E,Theory,08:30-09:50
C-309,Wednesday,Data St ,CS-A,Theory,11:30-12:50
C-309,Wednesday,LA ,CS-A,Theory,01:00-02:20
C-309,Wednesday,Info Sec ,DS-N,Theory,02:30-03:50
C-309,Wednesday,Comp Net ,DS-N,Theory,03:55-05:15
C-310,Wednesday,LA ,CS-B,Theory,08:30-09:50
C-310,Wednesday,Data St ,CS-B,Theory,10:00-11:20
C-310,Wednesday,Discrete ,CS-G,Theory,11:30-12:50
C-310,Wednesday,Comp Vision ,AI-K,Theory,02:30-03:50
C-310,Wednesday,Comp Vision ,AI-J,Theory,03:55-05:15
C-311,Wednesday,Data St ,CS-C,Theory,08:30-09:50
C-311,Wednesday,LA ,CS-C,Theory,10:00-11:20
C-311,Wednesday,COAL ,CS-C,Theory,11:30-12:50
C-311,Wednesday,COAL ,CS-B,Theory,01:00-02:20
C-311,Wednesday,AP ,CS-C,Theory,02:30-03:50
C-401,Wednesday,NLP ,D,Theory,08:30-09:50
C-401,Wednesday,COAL ,CS-D,Theory,10:00-11:20
C-401,Wednesday,LA ,CS-D,Theory,11:30-12:50
C-401,Wednesday,Data St ,CS-D,Theory,01:00-02:20
C-401,Wednesday,OOP ,"CS-A, 23",Theory,02:30-03:50
C-401,Wednesday,OOP ,"CS-B, 23",Theory,03:55-05:15
C-402,Wednesday,Automata ,CS-A,Theory,08:30-09:50
C-402,Wednesday,Discrete ,CS-F,Theory,10:00-11:20
C-402,Wednesday,Critical Think ,CS-F,Theory,11:30-12:50
C-402,Wednesday,Critical Think ,CS-G,Theory,01:00-02:20
C-403,Wednesday,Data St ,DS-A,Theory,08:30-09:50
C-403,Wednesday,Intro to DS ,DS-A,Theory,10:00-11:20
C-403,Wednesday,LA ,DS-A,Theory,11:30-12:50
C-403,Wednesday,DLD ,DS-A,Theory,01:00-02:20
C-403,Wednesday,Discrete ,CS-E,Theory,02:30-03:50
C-404,Wednesday,Intro to DS ,DS-B,Theory,08:30-09:50
C-404,Wednesday,LA ,DS-B,Theory,10:00-11:20
C-404,Wednesday,DLD ,DS-B,Theory,11:30-12:50
C-404,Wednesday,Data St ,DS-B,Theory,01:00-02:20
C-404,Wednesday,DB ,"DS-A, 22",Theory,02:30-03:50
C-405,Wednesday,LA ,SE-A,Theory,08:30-09:50
C-405,Wednesday,COAL ,SE-A,Theory,10:00-11:20
C-405,Wednesday,Prob & Stats ,DS-C,Theory,11:30-12:50
C-405,Wednesday,SRE ,SE-A,Theory,01:00-02:20
C-405,Wednesday,OOP ,"AI/DS-B, 23",Theory,02:30-03:50
C-405,Wednesday,OOP ,"AI/DS-A, 23",Theory,03:55-05:15
C-406,Wednesday,COAL ,SE-B,Theory,08:30-09:50
C-406,Wednesday,LA ,SE-B,Theory,10:00-11:20
C-406,Wednesday,SRE ,SE-B,Theory,11:30-12:50
C-406,Wednesday,TBW ,CS-H,Theory,01:00-02:20
C-406,Wednesday,Numerical ,CS-J,Theory,02:30-03:50
C-407,Wednesday,SDA ,CS-C,Theory,08:30-09:50
C-407,Wednesday,Comp Net ,CS-C,Theory,10:00-11:20
C-407,Wednesday,SDA ,CS-A,Theory,11:30-12:50
C-407,Wednesday,Comp Net ,CS-A,Theory,01:00-02:20
C-407,Wednesday,Robo Tech ,CS-Robo,Theory,02:30-03:50
C-408,Wednesday,Comp Net ,CS-G,Theory,08:30-09:50
C-408,Wednesday,SDA ,CS-G,Theory,10:00-11:20
C-408,Wednesday,Automata ,CS-G,Theory,11:30-12:50
C-408,Wednesday,Automata ,CS-C,Theory,01:00-02:20
C-408,Wednesday,TBW ,CS-B/F,Theory,02:30-03:50
C-408,Wednesday,DB ,"AI-A, 22",Theory,03:55-05:15
