Class,Day,Course,Section,Type,Time
C-307,Monday,PPIT ,CS-Y,Theory,03:55-05:15
C-307,Monday,App Image Proc,App Image Proc,Theory,05:20-06:40 
C-307,Monday,Resp Design,Resp Design,Theory,06:45-08:05
C-308,Monday,Ideol of Pak ,SE-B,Theory,08:30-09:50
C-308,Monday,Calculus ,SE-C,Theory,11:30-12:50
C-308,Monday,Calculus ,SE-B,Theory,01:00-02:20
C-308,Monday,AP ,CS-C,Theory,02:30-03:50
C-308,Monday,Cloud Sec,Cloud Sec,Theory,05:20-06:40 
C-308,Monday,ML for Cy Sec,ML for Cy Sec,Theory,06:45-08:05
C-309,Monday,COAL ,CS-A,Theory,08:30-09:50
C-309,Monday,Calculus ,SE-A,Theory,10:00-11:20
C-309,Monday,Data St ,CS-A,Theory,11:30-12:50
C-309,Monday,LA ,CS-A,Theory,01:00-02:20
C-309,Monday,Func Eng ,DS-B,Theory,02:30-03:50
C-310,Monday,Civics ,CS-E,Theory,08:30-09:50
C-310,Monday,Discrete ,CS-G,Theory,11:30-12:50
C-310,Monday,COAL ,CS-B,Theory,01:00-02:20
C-310,Monday,Func Eng ,SE-C,Theory,02:30-03:50
C-311,Monday,LA ,CS-B,Theory,08:30-09:50
C-311,Monday,Data St ,CS-B,Theory,10:00-11:20
C-311,Monday,Civics ,CS-F,Theory,11:30-12:50
C-311,Monday,Civics ,CS-G,Theory,01:00-02:20
C-401,Monday,Data St ,CS-C,Theory,08:30-09:50
C-401,Monday,LA ,CS-C,Theory,10:00-11:20
C-401,Monday,COAL ,CS-C,Theory,11:30-12:50
C-401,Monday,PDC ,"A, 21",Theory,01:00-02:20
C-401,Monday,S/w Qual Engg ,SE-D,Theory,02:30-03:50
C-401,Monday,TBW ,SE-D,Theory,03:55-05:15
C-402,Monday,Automata ,CS-A,Theory,08:30-09:50
C-402,Monday,COAL ,CS-D,Theory,10:00-11:20
C-402,Monday,LA ,CS-D,Theory,11:30-12:50
C-402,Monday,Data St ,CS-D,Theory,01:00-02:20
C-402,Monday,TBW ,SE-E,Theory,02:30-03:50
C-402,Monday,S/w Qual Engg ,SE-E,Theory,03:55-05:15
C-403,Monday,Discrete ,CS-F,Theory,10:00-11:20
C-403,Monday,Data Analysis ,DS-B,Theory,11:30-12:50
C-403,Monday,Algo ,DS-B,Theory,01:00-02:20
C-403,Monday,Discrete ,CS-E,Theory,02:30-03:50
C-403,Monday,OS ,DS-B,Theory,03:55-05:15
C-404,Monday,NLP ,D,Theory,08:30-09:50
C-404,Monday,COAL ,CY-B,Theory,10:00-11:20
C-404,Monday,COAL ,CY-A,Theory,11:30-12:50
C-404,Monday,OS ,DS-A,Theory,01:00-02:20
C-404,Monday,Data Analysis ,DS-A,Theory,02:30-03:50
C-404,Monday,Algo ,DS-A,Theory,03:55-05:15
